LECROYWR104Xi,20088,Waveform
Segments,1,SegmentSize,5002
Segment,TrigTime,TimeSinceSegment1
#1,25-Sep-2016 22:13:30,0                 
Time,Ampl
-9.160315e-007,1.41999
-9.158315e-007,1.38799
-9.156315e-007,1.35599
-9.154315e-007,1.38799
-9.152315e-007,1.32399
-9.150315e-007,1.29199
-9.148315e-007,1.32399
-9.146315e-007,1.35599
-9.144315e-007,1.35599
-9.142315e-007,1.38799
-9.140315e-007,1.32399
-9.138315e-007,1.29199
-9.136315e-007,1.32399
-9.134315e-007,1.35599
-9.132315e-007,1.38799
-9.130315e-007,1.32399
-9.128315e-007,1.38799
-9.126315e-007,1.35599
-9.124315e-007,1.35599
-9.122315e-007,1.32399
-9.120315e-007,1.32399
-9.118315e-007,1.35599
-9.116315e-007,1.35599
-9.114315e-007,1.32399
-9.112315e-007,1.32399
-9.110315e-007,1.35599
-9.108315e-007,1.32399
-9.106315e-007,1.32399
-9.104315e-007,1.38799
-9.102315e-007,1.35599
-9.100315e-007,1.38799
-9.098315e-007,1.35599
-9.096315e-007,1.32399
-9.094315e-007,1.35599
-9.092315e-007,1.35599
-9.090315e-007,1.35599
-9.088315e-007,1.38799
-9.086315e-007,1.41999
-9.084315e-007,1.32399
-9.082315e-007,1.25999
-9.080315e-007,1.29199
-9.078315e-007,1.35599
-9.076315e-007,1.38799
-9.074315e-007,1.32399
-9.072315e-007,1.32399
-9.070315e-007,1.32399
-9.068315e-007,1.29199
-9.066315e-007,1.32399
-9.064315e-007,1.35599
-9.062315e-007,1.35599
-9.060315e-007,1.32399
-9.058315e-007,1.32399
-9.056315e-007,1.32399
-9.054315e-007,1.35599
-9.052315e-007,1.25999
-9.050315e-007,1.32399
-9.048315e-007,1.35599
-9.046315e-007,1.29199
-9.044315e-007,1.35599
-9.042315e-007,1.35599
-9.040315e-007,1.38799
-9.038315e-007,1.35599
-9.036315e-007,1.35599
-9.034315e-007,1.32399
-9.032315e-007,1.32399
-9.030315e-007,1.29199
-9.028315e-007,1.29199
